"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 05, 2019","0.003562","0.003650","0.003739","0.003329","177.47M","-2.53%"
"Apr 04, 2019","0.003654","0.003135","0.004150","0.003097","341.74M","16.40%"
"Apr 03, 2019","0.003139","0.002776","0.003715","0.002776","249.18M","12.40%"
"Apr 02, 2019","0.002793","0.002453","0.002925","0.002371","348.32M","13.87%"
"Apr 01, 2019","0.002453","0.002076","0.002581","0.002067","461.21M","18.26%"
"Mar 31, 2019","0.002074","0.002085","0.002091","0.002060","405.52M","-0.48%"
"Mar 30, 2019","0.002084","0.002087","0.002100","0.002058","286.63M","-0.17%"
"Mar 29, 2019","0.002088","0.002055","0.002099","0.002042","370.17M","1.54%"
"Mar 28, 2019","0.002056","0.002067","0.002075","0.002028","471.91M","-0.49%"
"Mar 27, 2019","0.002066","0.002028","0.002074","0.002001","372.92M","2.09%"
"Mar 26, 2019","0.002024","0.002022","0.002044","0.002009","448.51M","0.11%"
"Mar 25, 2019","0.002022","0.002013","0.002065","0.001987","377.14M","0.45%"
"Mar 24, 2019","0.002013","0.002021","0.002026","0.001992","226.50M","-0.41%"
"Mar 23, 2019","0.002021","0.002023","0.002030","0.002007","214.20M","-0.05%"
"Mar 22, 2019","0.002022","0.002015","0.002033","0.002004","159.42M","0.35%"
"Mar 21, 2019","0.002015","0.002040","0.002046","0.002000","320.46M","-1.22%"
"Mar 20, 2019","0.002040","0.002049","0.002065","0.002016","209.69M","-0.43%"
"Mar 19, 2019","0.002049","0.002058","0.002074","0.002036","239.71M","-0.47%"
"Mar 18, 2019","0.002058","0.002049","0.002079","0.002032","328.74M","0.44%"
"Mar 17, 2019","0.002049","0.002053","0.002067","0.002024","407.94M","-0.10%"
"Mar 16, 2019","0.002051","0.002034","0.002079","0.002026","373.89M","0.86%"
"Mar 15, 2019","0.002034","0.002022","0.002048","0.002009","392.87M","0.63%"
"Mar 14, 2019","0.002021","0.002002","0.002029","0.001986","319.28M","0.84%"
"Mar 13, 2019","0.002004","0.001994","0.002073","0.001980","225.42M","0.54%"
"Mar 12, 2019","0.001994","0.001928","0.002029","0.001898","325.70M","3.40%"
"Mar 11, 2019","0.001928","0.001958","0.001966","0.001920","500.99M","-1.53%"
"Mar 10, 2019","0.001958","0.001976","0.001977","0.001946","333.94M","-0.98%"
"Mar 09, 2019","0.001977","0.001948","0.001986","0.001938","395.50M","1.50%"
"Mar 08, 2019","0.001948","0.001952","0.001970","0.001927","337.12M","-0.15%"
"Mar 07, 2019","0.001951","0.001938","0.001997","0.001938","290.33M","0.67%"
"Mar 06, 2019","0.001938","0.001945","0.001962","0.001930","360.96M","-0.46%"
"Mar 05, 2019","0.001947","0.001907","0.001969","0.001900","499.14M","2.19%"
"Mar 04, 2019","0.001905","0.001960","0.001971","0.001900","189.32M","-2.59%"
"Mar 03, 2019","0.001956","0.001979","0.002000","0.001952","231.62M","-1.15%"
"Mar 02, 2019","0.001979","0.001963","0.001984","0.001951","452.30M","0.82%"
"Mar 01, 2019","0.001963","0.001925","0.001982","0.001922","389.96M","1.98%"
"Feb 28, 2019","0.001924","0.001949","0.001956","0.001908","302.81M","-1.27%"
"Feb 27, 2019","0.001949","0.001958","0.001979","0.001922","447.47M","-0.33%"
"Feb 26, 2019","0.001956","0.001988","0.001994","0.001950","341.12M","-1.56%"
"Feb 25, 2019","0.001987","0.001919","0.002009","0.001918","186.44M","3.55%"
"Feb 24, 2019","0.001918","0.002072","0.002124","0.001891","170.74M","-7.39%"
"Feb 23, 2019","0.002071","0.002046","0.002102","0.002024","229.79M","1.24%"
"Feb 22, 2019","0.002046","0.002020","0.002052","0.002000","359.12M","1.30%"
"Feb 21, 2019","0.002020","0.002054","0.002058","0.002018","230.02M","-1.65%"
"Feb 20, 2019","0.002054","0.002067","0.002067","0.002020","300.20M","-0.66%"
"Feb 19, 2019","0.002067","0.002058","0.002097","0.002041","451.33M","0.46%"
"Feb 18, 2019","0.002058","0.002024","0.002067","0.001997","264.57M","1.69%"
"Feb 17, 2019","0.002024","0.001934","0.002042","0.001933","457.87M","4.61%"
"Feb 16, 2019","0.001934","0.001889","0.001938","0.001889","301.07M","2.35%"
"Feb 15, 2019","0.001890","0.001893","0.001903","0.001882","267.90M","0.00%"
"Feb 14, 2019","0.001890","0.001892","0.001900","0.001871","321.97M","-0.09%"
"Feb 13, 2019","0.001891","0.001880","0.001900","0.001872","255.00M","0.56%"
"Feb 12, 2019","0.001881","0.001863","0.001900","0.001857","206.28M","0.95%"
"Feb 11, 2019","0.001863","0.001902","0.001902","0.001862","264.06M","-2.05%"
"Feb 10, 2019","0.001902","0.001916","0.001924","0.001876","195.30M","-0.73%"
"Feb 09, 2019","0.001916","0.001936","0.001940","0.001885","150.78M","-1.29%"
"Feb 08, 2019","0.001941","0.001820","0.002004","0.001810","278.09M","6.65%"
"Feb 07, 2019","0.001820","0.001806","0.001832","0.001804","245.51M","0.83%"
"Feb 06, 2019","0.001805","0.001856","0.001859","0.001792","222.55M","-2.80%"
"Feb 05, 2019","0.001857","0.001871","0.001879","0.001854","272.82M","-0.91%"
"Feb 04, 2019","0.001874","0.001886","0.001898","0.001866","200.45M","-0.64%"
"Feb 03, 2019","0.001886","0.001928","0.001931","0.001855","226.34M","-2.18%"
"Feb 02, 2019","0.001928","0.001905","0.001933","0.001893","300.91M","0.73%"
"Feb 01, 2019","0.001914","0.001892","0.001935","0.001850","324.22M","1.16%"
"Jan 31, 2019","0.001892","0.001921","0.001974","0.001885","421.12M","-1.66%"
"Jan 30, 2019","0.001924","0.001881","0.001927","0.001866","317.01M","2.23%"
"Jan 29, 2019","0.001882","0.001894","0.001901","0.001837","230.09M","-0.69%"
"Jan 28, 2019","0.001895","0.001994","0.001999","0.001858","278.81M","-4.96%"
"Jan 27, 2019","0.001994","0.002012","0.002012","0.001976","145.79M","-0.94%"
"Jan 26, 2019","0.002013","0.002004","0.002045","0.001994","190.61M","0.45%"
"Jan 25, 2019","0.002004","0.002005","0.002020","0.001995","198.34M","-0.05%"
"Jan 24, 2019","0.002005","0.002000","0.002018","0.001981","238.23M","0.25%"
"Jan 23, 2019","0.002000","0.002023","0.002029","0.001974","174.27M","-1.14%"
"Jan 22, 2019","0.002023","0.002040","0.002047","0.001993","359.01M","-0.83%"
"Jan 21, 2019","0.002040","0.002037","0.002058","0.002004","271.51M","0.00%"
"Jan 20, 2019","0.002040","0.002104","0.002200","0.002003","138.53M","-2.90%"
"Jan 19, 2019","0.002101","0.002044","0.002133","0.002005","255.75M","2.79%"
"Jan 18, 2019","0.002044","0.002064","0.002064","0.002024","170.71M","-0.97%"
"Jan 17, 2019","0.002064","0.002062","0.002074","0.002045","251.72M","-0.05%"
"Jan 16, 2019","0.002065","0.002040","0.002073","0.002028","180.18M","1.23%"
"Jan 15, 2019","0.002040","0.002083","0.002086","0.002018","232.21M","-2.11%"
"Jan 14, 2019","0.002084","0.002061","0.002119","0.002041","163.67M","1.12%"
"Jan 13, 2019","0.002061","0.002090","0.002104","0.002010","354.83M","-1.39%"
"Jan 12, 2019","0.002090","0.002075","0.002130","0.002060","219.42M","0.48%"
"Jan 11, 2019","0.002080","0.002090","0.002130","0.002041","241.38M","-0.48%"
"Jan 10, 2019","0.002090","0.002221","0.002229","0.002030","88.67M","-5.90%"
"Jan 09, 2019","0.002221","0.002229","0.002244","0.002215","158.73M","-0.36%"
"Jan 08, 2019","0.002229","0.002227","0.002251","0.002211","214.65M","0.09%"
"Jan 07, 2019","0.002227","0.002270","0.002299","0.002219","96.80M","-1.76%"
"Jan 06, 2019","0.002267","0.002257","0.002336","0.002223","131.62M","0.44%"
"Jan 05, 2019","0.002257","0.002245","0.002281","0.002210","63.33M","0.53%"
"Jan 04, 2019","0.002245","0.002292","0.002295","0.002175","122.27M","-2.05%"
